cell,class,index,support_pixels,predicted_pixels,present,in_macro,iou,precision,recall,f1
unet_resnet34_rgb,ubefestet,4,10667088919,10414075371,True,True,0.9289722539853827,0.9748788272909457,0.9517555972479655,0.9631784511841115
unet_resnet34_rgb,green_roof,5,1430413,144619,True,True,0.000623868365045583,0.006790255775520506,0.0006865150134961022,0.0012469587919483542
unet_resnet34_rgb,drivhus,6,531496,1015688,True,True,0.08493003138700259,0.11924528004662849,0.22787753811881933,0.15656314956721373
unet_resnet34_rgb,betonflade,7,89260373,6911048,True,True,0.030085948514607913,0.40643618739155046,0.0314686114968397,0.058414443101553006
unet_resnet34_rgb,brosten,8,120321684,33651991,True,True,0.009993117622354135,0.045270813248464256,0.012661499983660469,0.019788486570837514
unet_resnet34_rgb,unknown2,9,0,0,False,False,,,,
unet_resnet34_rgb,solceller,10,58625774,37366920,True,True,0.5784258735924365,0.9414004418881727,0.600030201733456,0.7329148403731642
unet_resnet34_rgb_unw,asfalt,1,818756115,1068641152,True,True,0.5001073968450815,0.5888061711102812,0.7685102968666072,0.666762123694439
unet_resnet34_rgb_unw,fliser,2,231902162,190180739,True,True,0.15263190851407576,0.29389075515160346,0.24101698974242422,0.26484067877461825
unet_resnet34_rgb_unw,grus,3,206716845,394634954,True,True,0.14753318819303457,0.19591042105205916,0.3740048373900056,0.2571310175792789
