filename,route,reason,dsm_dtm_offset_m,dsm_offset_from_rgb_m,dtm_offset_from_rgb_m,ndsm_value
O2021_82_20_1_0024_00005078_2000_2000.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_82_20_1_0024_00005080_1000_9000.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_83_31_1_0040_00094626_1000_4000.tif,83-31,DSM/DTM geotransform mismatch -- no co-located terrain model,768.0026041622515,0.0,768.0026041622515,0.0
O2021_83_26_1_0013_00001596_3000_6000.tif,83-26,DSM/DTM geotransform mismatch -- no co-located terrain model,804.4899004959602,0.0,804.4899004959602,0.0
O2021_83_31_1_0042_00092138_2000_0.tif,83-31,DSM/DTM geotransform mismatch -- no co-located terrain model,684.2696836774226,0.0,684.2696836774226,0.0
O2021_82_11_1_0027_00002535_3000_4000.tif,82-11,DSM/DTM geotransform mismatch -- no co-located terrain model,646.2197768561405,646.2197768561405,0.0,0.0
O2021_82_20_1_0024_00005079_13000_4000.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_82_21_1_0004_00002039_14000_0.tif,82-21,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_82_20_1_0024_00005080_7000_10000.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_82_20_1_0024_00005078_7000_5000.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_82_21_1_0004_00002039_4000_0.tif,82-21,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_82_20_1_0024_00005078_8000_5000.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_82_20_1_0023_00004974_8000_4000.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,1089.2350526860582,1089.2350526860582,0.0,0.0
O2021_82_20_1_0024_00005079_2000_10000.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_82_20_1_0024_00005078_12000_4000.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
